;ELE7;Punto de luz simple (enchufe, TV, FM) con mecanismo gama media;;23,40;
;ELE8;Interruptor simple con mecanismo gama media;;38,50;
;ELE9;Interruptor conmutado/cruce con mecanismo gama media;;41,80;
;ELEMO;Mano de obra. Indicar unidades.;;16,50;
;ELEIM;Intervención mínima o visita;;23,00;
Pinturas;;;;
;PIN1;Plástico liso hasta 10 m²;;43,30;
;PIN2;Plástico liso hasta , M² adicional;;3,10;
;PIN3;Gotelé plástico hasta 10 m² acabado plastico;;59,00;
;PIN4;Gotelé plástico , M² adicional acabado plastico;;3,40;
;PIN5;Esmalte hasta 10 m²;;66,00;
;PIN6;Esmalte hasta , M² adicional;;4,40;
;PIN7;Intervención mínima o visita;;23,00;
;PIN8;Mano de obra. Indicar unidades;;16,50;
;PIN9;Mano de obra ayudante Indicar unidades;;13,20;
;PIN10;Picado, tendido y enlucido, hasta 1 m²;;16,50;
;PIN11;Picado, tendido y enlucido,  M² adicional;;9,60;
Bricos;;;;
;BRI1;Visita sin intervención;;18,70;
;BRI2;Mano de obra BRICOCASER 2H;;30,25;
;BRI3;Mano de obra BRICOCASER 3H;;43,00;
BRICOS AGUA;;;;
;BRI1;Visita sin intervención;;18,70;
;BRI2;Mano de obra BRICOCASER 2H;;30,25;
;BRI3;Mano de obra BRICOCASER 3H;;43,00;
BRICOS LUZ;;;;
;BRI1;Visita sin intervención;;18,70;
;BRI2;Mano de obra BRICOCASER 2H;;30,25;
;BRI3;Mano de obra BRICOCASER 3H;;43,00;
BRICOS PERSIANA;;;;
;BRI1;Visita sin intervención;;18,70;
;BRI2;Mano de obra BRICOCASER 2H;;30,25;
;BRI3;Mano de obra BRICOCASER 3H;;43,00;
BRICOS MULTIGREMIO;;;;
;BRI1;Visita sin intervención;;18,70;
;BRI2;Mano de obra BRICOCASER 2H;;30,25;
;BRI3;Mano de obra BRICOCASER 3H;;43,00;
