Albañilería;;;;
;8151;Sustitución de temporizador de escalera, tipo Orbis Mod. T11, T16 o T20 - 1ª unidad;65,93;;
;8152;Sustitución de temporizador de escalera, tipo Orbis Mod. T11, T16 o T20 - ud. adicional;51,51;;
;8180;Material de electricidad no incluido en baremo;;;
;8181;Visita sin valoración de trabajos;18,70;;
;8182;Tarifa / hora mano de obra de electricidad;23,22;;
;8183;Tarifa / hora mano de obra de ayudante de electricidad;16,80;;
;1;Tarifa / hora mano de obra de limpieza;17,01;;
;3;Tarifa / hora mano de obra otros gremios no baremados;;;
;7;Tarifa / hora mano de obra de ayudante otros gremios no baremados;;;
;11;Material no incluido en baremo de limpieza;;;
;13;Material no incluido en baremo otros gremios no baremados;;;
;120;Desplazamiento 30-45 km ida;18,84;;
;121;Desplazamiento 46-60 km ida;24,05;;
;122;Desplazamiento 61-75 km ida;30,81;;
;123;Desplazamiento más de km 75 ida;50,32;;
;140;Recargo noctuno / festivo;47,00;;
;160;Ud.Alquiler de telesaco;47,70;;
;161;Ud.Alquiler contenedor;122,96;;
;180;Utilización de escalera alta (para trabajos a partir de 5 m de altura);29,27;;
;181;Montaje y desmontaje de andamio propio;33,00;;
;182;Utilización de andamios para trabajos en altura hasta 2 cuerpos (5 metros);90,00;;
;183;Utilización de andamios para trabajos en altura hasta 3 cuerpos (7,5 metros);130,00;;
;184;Utilización de andamios para trabajos en altura hasta 4 cuerpos (10 metros);155,00;;
;185;Utilización de cesta o camión grúa para trabajos en altura;;;
;186;Utilización de plataforma elevadora para trabajos en altura;;;
;187;Recargo peligrosidad trabajos altura en superf. Inestable (tejado/voladizo/cornisa) y sin medios aux (Andamio/escalera);122,20;;
;188;Recargo de peligrosidad para trabajos en altura con medios auxiliares (andamio, escalera, …);56,00;;
;200;Servicio mínimo trabajos verticales;100,00;;
;201;M.O trabajos verticales (días laborables);30,00;;
;202;M.O trabajos verticales (días festivos);50,00;;
;220;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);27,50;;
;240;Comparecencia judicial;24,72;;
;260;Tasas, impuestos, licencias;;;
;261;Retirada a punto limpio;;;
Persianas;;;;
;6260;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);30,25;;
;6280;Reparación persiana (sustituyendo cinta,polea,recogedor,topes o soportes o por descuelgue o ajuste de lamas)- 1ª unidad;51,05;;
;6281;Reparación persiana (sustituyendo cinta,polea,recogedor,topes o soportes o por descuelgue o ajuste de lamas)-unid.adic.;25,72;;
;6282;Reparación de persiana sustituyendo hasta 3 lamas de persianas de PVC - 1ª unidad;54,47;;
;6283;Reparación de persiana sustituyendo hasta 3 lamas de persianas de PVC - unidad adicional;44,97;;
;6284;Reparación de persiana sustituyendo hasta 3 lamas de persianas de aluminio - 1ª unidad;74,91;;
;6285;Reparación de persiana sustituyendo hasta 3 lamas de persianas de aluminio - unidad adicional;61,88;;
;6300;Sustitución de persianas de PVC lama estándar o mini - servicio mínimo hasta 1 m2;79,94;;
;6301;Sustitución de persianas de PVC  lama estándar o mini - m2 adicional;53,80;;
;6302;Sustitución de persianas de aluminio estándar - servicio mínimo hasta 1 m2;113,28;;
;6303;Sustitución de persianas de aluminio estándar - m2 adicional;68,97;;
;6304;Sustitución de persianas alicantinas o venecianas - servicio mínimo hasta 1 m2;83,58;;
;6305;Sustitución de persianas alicantinas o venecianas - m2 adicional;53,80;;
;6320;Suplemento por dificultad con participación de ayudante o cajón de persiana exterior;24,69;;
;6321;Material de persianas no incluido en baremo;;;
;6322;Visita sin valoración de trabajos;20,35;;
;6323;Tarifa / hora mano de obra de persianista;26,46;;
;6324;Tarifa / hora mano de obra de ayudante de persianista;15,75;;
Pinturas;;;;
;3000;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);29,15;;
;3020;Temple liso hasta 8 m2;48,93;;
;3021;Temple liso de 8 a 15 m2;65,66;;
;3022;M2 adicional de temple liso;3,30;;
;3024;Temple picado hasta 8 m2;62,33;;
;3025;Temple picado de 8 a 15 m2;89,78;;
;3026;M2 adicional de temple picado;4,60;;
;3028;Plástico liso hasta 8 m2;54,62;;
;3029;Plástico liso de 8 a 15 m2;77,42;;
;3030;M2 adicional de plástico liso;4,31;;
;3032;Temple picado acabado plástico hasta 8 m2;67,48;;
;3033;Temple picado acabado plástico de 8 a 15 m2;96,66;;
;3034;M2 adicional temple picado acabado plástico;5,19;;
;3036;Gotelé hasta 8 m2;66,55;;
;3037;Gotelé de 8 a 15 m2;90,04;;
;3038;M2 adicional de gotelé;4,84;;
;3040;Gotelé plástico hasta 8 m2;75,33;;
;3041;Gotelé plástico de 8 a 15 m2;97,05;;
;3042;M2 adicional de gotelé plástico;5,06;;
;3044;Pasta rayada hasta 8 m2;70,97;;
;3045;Pasta rayada de 8 a 15 m2;92,57;;
;3046;M2 adicional de pasta rayada;4,94;;
;3048;Esmalte hasta 8 m2;82,24;;
;3049;Esmalte de 8 a 15 m2;116,10;;
;3050;M2 adicional de esmalte hasta 40 m2;6,40;;
;3051;M2 adicional de esmalte;6,33;;
;3052;M2 adicional de pintura tixotrópica a partir de 40 m2;6,33;;
;3060;Estuco y similar (brisa, rústica, …) hasta 3 m2;117,81;;
;3061;Estuco y similar (brisa, rústica, …) m2 adicional;34,27;;
;3062;Tierras florentinas y similar (arenas, esponjado, trapeado, difuminado, patinado, …) hasta 3 m2;91,04;;
;3063;Tierras florentinas y similar (arenas, esponjado, trapeado, difuminado, patinado, …) m2 adic.;23,56;;
;3080;Arrancado/colocación de papel hasta 7 m2 (material aparte);82,11;;
;3081;Arrancado/colocación de papel de 8 a 15 m2 (material aparte);125,34;;
;3082;M2 adicional arrancado/colocación de papel (material aparte);7,73;;
;3100;Lacar/esmaltar puerta de madera tras reparación puntual (inc. cerco y jambas) - 1ª unidad;92,44;;
;3101;Lacar/esmaltar puerta de madera tras reparación puntual (inc. cerco y jambas) - unidad adicional;78,39;;
;3102;Barnizar puerta de madera tras reparación puntual (inc. cerco y jambas) - 1ª unidad;69,74;;
;3103;Barnizar puerta de madera tras reparación puntual (inc. cerco y jambas) - unidad adicional;55,68;;
;3104;Lacar/esmaltar puerta de madera nueva (inc. cerco y jambas) - 1ª unidad;135,48;;
;3105;Lacar/esmaltar puerta de madera nueva (inc. cerco y jambas) - unidad adicional;111,44;;
;3106;Barnizar puerta de madera nueva (inc. cerco y jambas) - 1ª unidad;110,85;;
;3107;Barnizar puerta de madera nueva (inc. cerco y jambas) - unidad adicional;92,67;;
;3108;Imprimación, lacado/esmaltado de puerta de trastero;93,72;;
;3109;Incremento por numeración de puerta (esmalte o vinilo);8,45;;
;3121;Recargo color (precio fijo por servicio);6,39;;
;3122;Recargo por pintura de referencia / carta de colores por ordenador;;;
;3123;M2 clorocaucho;;;
;3124;Material no incluido en baremo de pintura / papel;;;
;3125;Visita sin valoración de trabajos;20,63;;
;3126;Tarifa / hora mano de obra de pintura / papel;23,00;;
;3127;Tarifa / hora mano de obra de ayudante de pintura / papel;15,75;;
;1;Tarifa / hora mano de obra de limpieza;17,01;;
;3;Tarifa / hora mano de obra otros gremios no baremados;;;
;7;Tarifa / hora mano de obra de ayudante otros gremios no baremados;;;
;11;Material no incluido en baremo de limpieza;;;
;13;Material no incluido en baremo otros gremios no baremados;;;
;120;Desplazamiento 30-45 km ida;18,84;;
;121;Desplazamiento 46-60 km ida;24,05;;
;122;Desplazamiento 61-75 km ida;30,81;;
;123;Desplazamiento más de km 75 ida;50,32;;
;140;Recargo noctuno / festivo;47,00;;
;160;Ud.Alquiler de telesaco;47,70;;
;161;Ud.Alquiler contenedor;122,96;;
;180;Utilización de escalera alta (para trabajos a partir de 5 m de altura);29,27;;
;181;Montaje y desmontaje de andamio propio;33,00;;
;182;Utilización de andamios para trabajos en altura hasta 2 cuerpos (5 metros);90,00;;
;183;Utilización de andamios para trabajos en altura hasta 3 cuerpos (7,5 metros);130,00;;
;184;Utilización de andamios para trabajos en altura hasta 4 cuerpos (10 metros);155,00;;
;185;Utilización de cesta o camión grúa para trabajos en altura;;;
;186;Utilización de plataforma elevadora para trabajos en altura;;;
;187;Recargo peligrosidad trabajos altura en superf. Inestable (tejado/voladizo/cornisa) y sin medios aux (Andamio/escalera);122,20;;
;188;Recargo de peligrosidad para trabajos en altura con medios auxiliares (andamio, escalera, …);56,00;;
;200;Servicio mínimo trabajos verticales;100,00;;
;201;M.O trabajos verticales (días laborables);30,00;;
;202;M.O trabajos verticales (días festivos);50,00;;
;220;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);27,50;;
;240;Comparecencia judicial;24,72;;
;260;Tasas, impuestos, licencias;;;
;261;Retirada a punto limpio;;;
;3040;Gotelé plástico hasta 8 m2;76,83;;
;3042;M2 adicional de gotelé plástico;5,16;;
;3036;Gotelé hasta 8 m2;67,88;;
;3038;M2 adicional de gotelé;4,94;;
Diversos;;;;
;1;Tarifa / hora mano de obra de limpieza;17,01;;
;3;Tarifa / hora mano de obra otros gremios no baremados;;;
;7;Tarifa / hora mano de obra de ayudante otros gremios no baremados;;;
;11;Material no incluido en baremo de limpieza;;;
;13;Material no incluido en baremo otros gremios no baremados;;;
;120;Desplazamiento 30-45 km ida;18,84;;
;121;Desplazamiento 46-60 km ida;24,05;;
;122;Desplazamiento 61-75 km ida;30,81;;
;123;Desplazamiento más de km 75 ida;50,32;;
;140;Recargo noctuno / festivo;47,00;;
;160;Ud.Alquiler de telesaco;47,70;;
;161;Ud.Alquiler contenedor;122,96;;
;180;Utilización de escalera alta (para trabajos a partir de 5 m de altura);29,27;;
;181;Montaje y desmontaje de andamio propio;33,00;;
;182;Utilización de andamios para trabajos en altura hasta 2 cuerpos (5 metros);90,00;;
;183;Utilización de andamios para trabajos en altura hasta 3 cuerpos (7,5 metros);130,00;;
;184;Utilización de andamios para trabajos en altura hasta 4 cuerpos (10 metros);155,00;;
;185;Utilización de cesta o camión grúa para trabajos en altura;;;
;186;Utilización de plataforma elevadora para trabajos en altura;;;
;187;Recargo peligrosidad trabajos altura en superf. Inestable (tejado/voladizo/cornisa) y sin medios aux (Andamio/escalera);122,20;;
;188;Recargo de peligrosidad para trabajos en altura con medios auxiliares (andamio, escalera, …);56,00;;
;200;Servicio mínimo trabajos verticales;100,00;;
;201;M.O trabajos verticales (días laborables);30,00;;
;202;M.O trabajos verticales (días festivos);50,00;;
;220;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);27,50;;
;240;Comparecencia judicial;24,72;;
;260;Tasas, impuestos, licencias;;;
;261;Retirada a punto limpio;;;
;0263;Bonificación por Completar datos de Causante;8,00;;
Parquet;;;;
;4000;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);30,25;;
;4010;Lijado y barnizado hasta 1 m2 (servicio mínimo);102,41;;
;4011;Lijado y barnizado hasta 5 m2 (servicio mínimo);187,55;;
;4012;Lijado y barnizado hasta 20 m2 (servicio mínimo);295,30;;
;4013;Lijado y barnizado m2 adicional;15,87;;
;4020;Roble (damas, tablilla, baldosa);46,49;;
;4021;Eucalipto (damas, tablilla, baldosa);45,28;;
;4022;Elondo  (damas, tablilla, baldosa);45,56;;
;4023;Maderas tropicales (iroko, jatoba)  (damas, tablilla, baldosa);50,72;;
;4040;Tarima de roble;94,85;;
;4041;Tarima de elondo;94,85;;
;4042;Tarima de maderas tropicales (iroko, jatoba);94,85;;
;4043;Tarima de pino nuevo, pino Oregón;92,37;;
;4044;Tarima de pino viejo;133,56;;
;4060;Retirada/colocación de tarima hasta 3 m2;103,62;;
;4061;M2 adicional retirada/colocación de tarima hasta 15 m2;16,42;;
;4062;M2 adicional retirada/colocación de tarima más de 15 m2;14,36;;
;4080;M2 material tarima básica;14,25;;
;4081;M2 material tarima sencilla;22,30;;
;4082;M2 material tarima media;31,57;;
;4083;M2 material tarima superior;44,60;;
;4084;M2 material tarima especial;;;
;4100;Ml.Rodapié aglomerado;8,19;;
;4101;Ml.Rodapié macizo 7/9 cm;9,81;;
;4102;Ml.Rodapié macizo 10/15 cm;11,48;;
;4103;Ud.Sustitución de rodapié de 7 cm a 15 cm hasta 5 ml. Incompatible con otro trabajo;69,30;;
;4104;Ml.Sustitución de rodapié de 7 cm a 15 cm ml. adicional. Incompatible con otro trabajo;10,88;;
;4140;Levantado y colocación de corcho/moqueta hasta   5 m2;87,52;;
;4141;Levantado y colocación de corcho/moqueta hasta 10 m2;134,09;;
;4142;Levantado y colocación de corcho/moqueta hasta 15 m2;170,55;;
;4143;M2 adicional levantado y colocación de corcho/moqueta;12,94;;
;4160;Ud.Preparación suelo con pasta niveladora (precio fijo por servicio);26,16;;
;4161;Ml suministro/instalación pletina de transición/dilatación;26,16;;
;4162;Ud.Cepillado o rebaje de puerta de paso;28,38;;
;4163;Ud.Cepillado o rebaje de puerta exterior;59,66;;
;4180;Material de parquet/corcho/moqueta no incluido en baremo;;;
;4181;Visita sin valoración de trabajos;20,35;;
;4182;Tarifa / hora mano de obra de parquetista;25,38;;
;4183;Tarifa / hora mano de obra de ayudante de parquetista;16,28;;
;1;Tarifa / hora mano de obra de limpieza;17,01;;
;3;Tarifa / hora mano de obra otros gremios no baremados;;;
;7;Tarifa / hora mano de obra de ayudante otros gremios no baremados;;;
;11;Material no incluido en baremo de limpieza;;;
;13;Material no incluido en baremo otros gremios no baremados;;;
;120;Desplazamiento 30-45 km ida;18,84;;
;121;Desplazamiento 46-60 km ida;24,05;;
;122;Desplazamiento 61-75 km ida;30,81;;
;123;Desplazamiento más de km 75 ida;50,32;;
;140;Recargo noctuno / festivo;47,00;;
;160;Ud.Alquiler de telesaco;47,70;;
;161;Ud.Alquiler contenedor;122,96;;
;180;Utilización de escalera alta (para trabajos a partir de 5 m de altura);29,27;;
;181;Montaje y desmontaje de andamio propio;33,00;;
;182;Utilización de andamios para trabajos en altura hasta 2 cuerpos (5 metros);90,00;;
;183;Utilización de andamios para trabajos en altura hasta 3 cuerpos (7,5 metros);130,00;;
;184;Utilización de andamios para trabajos en altura hasta 4 cuerpos (10 metros);155,00;;
;185;Utilización de cesta o camión grúa para trabajos en altura;;;
;186;Utilización de plataforma elevadora para trabajos en altura;;;
;187;Recargo peligrosidad trabajos altura en superf. Inestable (tejado/voladizo/cornisa) y sin medios aux (Andamio/escalera);122,20;;
;188;Recargo de peligrosidad para trabajos en altura con medios auxiliares (andamio, escalera, …);56,00;;
;200;Servicio mínimo trabajos verticales;100,00;;
;201;M.O trabajos verticales (días laborables);30,00;;
;202;M.O trabajos verticales (días festivos);50,00;;
;220;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);27,50;;
;240;Comparecencia judicial;24,72;;
;260;Tasas, impuestos, licencias;;;
;261;Retirada a punto limpio;;;
;4060;Retirada/colocación de tarima hasta 3 m2;105,74;;
;4083;M2 material tarima superior;43,71;;
;4012;Lijado y barnizado hasta 20 m2 (servicio mínimo);301,32;;
;4103;Ud.Sustitución de rodapié de 7 cm a 15 cm hasta 5 ml. Incompatible con otro trabajo;67,91;;
;4102;Ml.Rodapié macizo 10/15 cm;11,25;;
;4182;Tarifa / hora mano de obra de parquetista;24,87;;
;4061;M2 adicional retirada/colocación de tarima hasta 15 m2;16,09;;
;4160;Ud.Preparación suelo con pasta niveladora (precio fijo por servicio);25,63;1,00;
;4104;Ml.Sustitución de rodapié de 7 cm a 15 cm ml. adicional. Incompatible con otro trabajo;10,66;;
;4000;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);29,65;;
;4083;M2 material tarima superior;43,71;;
;4013;Lijado y barnizado m2 adicional;15,56;;
;4062;M2 adicional retirada/colocación de tarima más de 15 m2;14,65;;
;4082;M2 material tarima media;32,21;;
;4020;Roble (damas, tablilla, baldosa);45,56;;
;4161;Ml suministro/instalación pletina de transición/dilatación;25,63;;
;4023;Maderas tropicales (iroko, jatoba) (damas, tablilla, baldosa);49,70;;
;4040;Tarima de roble;92,95;;
;4162;Ud.Cepillado o rebaje de puerta de paso;27,81;;
Carpintería metálica;;;;
;6000;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);29,15;;
;6020;Desmontaje y montaje de mampara de baño;58,00;;
;6021;Sustitución de mampara de baño;87,58;;
;6040;Sustitución de puerta completa de trastero - 1ª unidad;262,40;;
;6041;Sustitución de puerta completa de trastero  - unidad adicional;239,55;;
;6042;Sustitución de puerta completa cortafuegos RF 60 - 1ª unidad;403,92;;
;6043;Sustitución de puerta completa cortafuegos RF 60  - unidad adicional;353,43;;
;6044;Sustitución de puerta completa cortafuegos RF 90 - 1ª unidad;413,02;;
;6045;Sustitución de puerta completa cortafuegos RF 90  - unidad adicional;371,49;;
;6046;Imprimación, lacado/esmaltado de puerta de trastero;87,20;;
;6047;Incremento por numeración de puerta (esmalte o vinilo);7,86;;
;6060;Desmontaje y montaje de falso techo de aluminio - servicio mínimo hasta 3 m2;80,33;;
;6061;Desmontaje y montaje de falso techo de aluminio - m2 adicional;18,18;;
;6062;Instalación de falso techo de aluminio blanco/mate - servicio mínimo hasta 3 m2;175,95;;
;6063;Instalación de falso techo de aluminio blanco/mate - m2 adicional;50,44;;
;6064;Reparación de puerta/ ventana;;;
;6065;Suministro y colocación puerta completa de aluminio;;;
;6066;Suministro y colocación ventana completa de aluminio;;;
;6067;Suministro y colocación ventana completa de PVC;;;
;6080;Reparación de cierre de tijera/ ballesta;;;
;6081;Sustitución completa cierre de tijera/ ballesta;;;
;6082;Reparación de cierre enrollable;;;
;6083;Sustitución completa cierre enrollable;;;
;6084;Reparación de puerta de garaje;;;
;6085;Sustitución completa puerta de garaje;;;
;6100;Material de carpintería metálica no incluido en baremo;;;
;6101;Visita sin valoración de trabajos;20,35;;
;6102;Tarifa / hora mano de obra de carpintería metálica /aluminio;26,46;;
;6103;Tarifa / hora mano de obra de ayudante de carpintería metálica /aluminio;16,80;;
Cerrajeria;;;;
;6120;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);29,15;;
;6140;Apertura de puerta;57,63;;
;6141;Plus apertura de puerta con otra reparación;35,12;;
;6142;Reparación provisional o aseguramiento. Incluido el material recuperable.;65,51;;
;6143;Reparación provisional o aseguramiento.Unidad adicional;45,57;;
;6160;Sustitución de bombillo - 1ª unidad;65,02;;
;6161;Sustitución de bombillo  - unidad adicional;38,00;;
;6162;Sustitución bombillo seguridad tipo A:Tesa TE5, Ezcurra DS15,MCM C/E, Azbe HS6 y HS7, Cisa Asix y similares - 1ª unidad;13,00;;
;6163;Sustitución bombillo seguridad tipo A:Tesa TE5,Ezcurra DS15,MCM C/E,Azbe HS6 y HS7,Cisa Asix y similar-unid.adicional;76,25;;
;6164;Sustitución de bombillo de seguridad tipo B: Tesa T60, Ezcurra DS10, Mcm AS/SE, Azbe 50-N y similares - 1ª unidad;42,84;;
;6165;Sustitución de  bombillo seguridad tipo B: Tesa T60, Ezcurra DS10, Mcm AS/SE, Azbe 50-N y similares  - unidad adicional;87,15;;
;6166;Sustitución de bombillo de seguridad tipo C: Tesa T80, Azbe HS3, Cisa Astral y similares - 1ª unidad;55,08;;
;6167;Sustitución de bombillo de seguridad tipo C: Tesa T80, Azbe HS3, Cisa Astral y similares  - unidad adicional;114,75;;
;6168;Sustitución bombillo seguridad tipo D:Tesa TX80 y T10P, Ezcurra SEA23, Mcm SS, Azbe HSK,Cisa AP3 y similares -1ª unidad;73,62;;
;6169;Sustitución bombillo seguridad tipo D:Tesa TX80 y T10P,Ezcurra SEA23,Mcm SS,Azbe HSK,Cisa AP3 y similar-unid. adicional;129,16;;
;6170;Sustitución de bombillo de seguridad no tarificado (mano de obra) - 1ª unidad;114,02;;
;6171;Sustitución de bombillo de seguridad no tarificado (mano de obra)  - unidad adicional;47,12;;
;6180;Sustitución de cerradura tipo pompa simple (Iseo o similar) - 1ª unidad;147,53;;
;6181;Sustitución de cerradura tipo pompa simple (Iseo o similar)  - unidad adicional;114,57;;
;6182;Sustitución de gorjas de seguridad (Mcm, Ezcurra, Cisa o similar) - 1ª unidad;167,02;;
;6183;Sustitución de gorjas de seguridad (Mcm, Ezcurra, Cisa o similar)  - unidad adicional;149,21;;
;6200;Sustitución de cerradura normal (1 punto) - 1ª unidad;95,80;;
;6201;Sustitución de cerradura normal (1 punto)  - unidad adicional;75,95;;
;6202;Sustitución de cerradura de seguridad de 3 puntos - 1ª unidad;191,44;;
;6203;Sustitución de cerradura de seguridad de 3 puntos  - unidad adicional;163,36;;
;6204;Sustitución de cerradura de seguridad de 5 puntos - 1ª unidad;220,75;;
;6205;Sustitución de cerradura de seguridad de 5 puntos  - unidad adicional;191,25;;
;6206;Sustitución de cerradura no tarificada (mano de obra) - 1ª unidad;52,02;;
;6207;Sustitución de cerradura no tarificada (mano de obra)  - unidad adicional;31,21;;
;6208;Sustitución de buzón (incluido descerraje y apertura) - 1ª unidad;41,10;;
;6209;Sustitución de buzón (incluido descerraje y apertura) - unidad adicional;15,84;;
;6220;Sustitución de cerrojo tipo A: Ezcurra (300, 500), Lince (3910, 3915), FAC (101) y similares - 1ª unidad;83,75;;
;6221;Sustitución de cerrojo tipo A: Ezcurra (300, 500), Lince (3910, 3915), FAC (101) y similares  - unidad adicional;45,90;;
;6222;Sustitución de cerrojo tipo B: Azbe (16, 18, 19), Fac (201, 300, 301), Lince (2930, 3930, 3932) y similares - 1ª unidad;98,49;;
;6223;Sustitución cerrojo tipo B: Azbe (16, 18, 19), Fac (201, 300, 301) Lince (2930, 3930, 3932) y similares -unid.adicional;65,36;;
;6224;Sustitución de cerrojo tipo C: Azbe (5), Fac (302, 303, 305, 307, 308 y 311), Lince (7930) y similares - 1ª unidad;129,96;;
;6225;Sustitución cerrojo tipo C: Azbe (5), Fac (302, 303, 305, 307, 308 y 311), Lince (7930) y similares - unid.adicional;90,15;;
;6226;Sustitución de cerrojo no tarificado - 1ª unidad;48,43;;
;6227;Sustitución de cerrojo no tarificado  - unidad adicional;18,36;;
;6241;Sustitución de escudo de seguridad (Ezcurra 424P, Tesa E700I y similares);39,83;;
;6242;Material de cerrajería no incluido en baremo;;;
;6243;Visita sin valoración de trabajos;20,35;;
;6244;Tarifa / hora mano de obra de cerrajería;26,46;;
;6245;Tarifa / hora mano de obra de ayudante de cerrajería;16,80;;
Desatasco;;;;
;2120;Desatranco por medios manuales (incluido material);44,22;;
;2121;Desatranco por medios mecánicos (incluido alquiler de maquinaria);76,21;;
;2122;Salida camión-cuba (horario comercial);;;
;2123;Hora desatranco camión-cuba (horario comercial);;;
;2124;Salida camión-cuba (fuera de horario comercial);;;
;2125;Hora desatranco camión-cuba (fuera de horario comercial);;;
;2126;Inspección con cámara de TV;;;
Marmoles;;;;
;7000;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);29,15;;
;7020;Aplacado de mármol, granito o similar - hasta 3 m2 importe/m2;43,30;;
;7021;Aplacado de mármol, granito o similar - más de 3 m2 importe/m2;36,81;;
;7022;Solado de mármol, granito o similar - hasta 3 m2 importe/m2;43,30;;
;7023;Solado de mármol, granito o similar - más de 3 m2 importe/m2;36,81;;
;7040;Abrillantado hasta 20 m2;146,23;;
;7041;M2 adicional abrillantado;7,04;;
;7042;Pulido/abrillantado hasta 20 m2;164,61;;
;7043;M2 adicional pulido/abrillantado;9,03;;
;7060;Reparación encimera mármol/granito/Silest/Compac/similar por rotura,con emplastecido/resina/pegamento especial y pulido;74,06;;
;7080;Desmontaje y montaje de encimera de mármol, granito, Silestone o similar - servicio mínimo hasta 1,20 ml.;68,40;;
;7081;Desmontaje y montaje de encimera de mármol, granito, Silestone o similar - ml adicional;33,94;;
;7100;Encimera GRUPO 1 - 2 cm grosor ml;175,77;;
;7101;Encimera GRUPO 2 - 2 cm grosor ml;191,11;;
;7102;Encimera GRUPO 3 - 2 cm grosor ml;222,57;;
;7103;Encimera GRUPO 4 - 2 cm grosor ml;289,84;;
;7104;Encimera GRUPO 1 - 3 cm grosor ml;213,37;;
;7105;Encimera GRUPO 2 - 3 cm grosor ml;239,43;;
;7106;Encimera GRUPO 3 - 3 cm grosor ml;315,63;;
;7107;Encimera GRUPO 4 - 3 cm grosor ml;392,54;;
;7120;Suministro y colocación de ml de faldón/zócalo GRUPO 1;37,64;;
;7121;Suministro y colocación de ml de faldón/zócalo GRUPO 2;48,41;;
;7122;Suministro y colocación de ml de faldón/zócalo GRUPO 3;56,50;;
;7123;Suministro y colocación de ml de faldón/zócalo GRUPO 4;76,84;;
;7140;Incremento encastre bajo encimera (cualquier grosor);81,53;;
;7141;Ml.Incremento canto doble (cualquier grosor);42,81;;
;7142;Estrías escurreplatos (rectas, curvas o en abanico);94,55;;
;7160;Material de mármolista no incluido en baremo;;;
;7161;Visita sin valoración de trabajos;20,35;;
;7162;Tarifa / hora mano de obra de marmolista;22,68;;
;7163;Tarifa / hora mano de obra de ayudante de marmolista;15,75;;
Tejados;;;;
;1180;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);30,25;;
;1181;Localización de daños sin cobertura y/o elaboración de presupuesto subiendo a tejado;78,75;;
;1200;Suministro y colocación de teja plana o mixta - servicio mínimo hasta 2 m2;141,85;;
;1201;Suministro y colocación de teja plana o mixta - m2 adicional;55,69;;
;1202;Suministro y colocación de teja árabe - servicio mínimo hasta 2 m2;172,30;;
;1203;Suministro y colocación de teja árabe - m2 adicional;70,39;;
;1204;Suministro y colocación de teja de pizarra - servicio mínimo hasta 2 m2;204,87;;
;1205;Suministro y colocación de teja de pizarra - m2 adicional;77,59;;
;1206;Suministro y colocación de teja en cumbrera o lima - servicio mínimo hasta 2 ml;107,53;;
;1207;Suministro y colocación de teja en cumbrera o lima - ml adicional;40,06;;
;1208;Suministro y colocación de teja en alero  - servicio mínimo hasta 2 ml;153,65;;
;1209;Suministro y colocación de teja en alero- ml adicional;49,20;;
;1210;Retirada y recolocación de tejas, sin sustitución - servicio mínimo hasta 2 m2;78,58;;
;1211;Retirada y recolocación de tejas, sin sustitución - m2 adicional;22,89;;
;1240;Impermeabilización de superficie mediante tela asfáltica - hasta 2 m2;80,35;;
;1241;Impermeabilización de superficie mediante tela asfáltica - m2 adicional;32,10;;
;1242;Impermeabilización de superficie mediante tela asfáltica + aplicación de brea y clorocaucho - hasta 1 m2;132,25;;
;1243;Impermeabilización de superficie mediante tela asfáltica + aplicación de brea y clorocaucho - m2 adicional;53,49;;
;1244;Impermeabilización de superficie mediante clorocaucho / fibra de vidrio - hasta 1 m2;54,14;;
;1245;Impermeabilización de superficie mediante clorocaucho / fibra de vidrio - m2 adicional;30,86;;
;1246;Placa de fibrocemento - 1 m2;60,23;;
;1247;Placa de fibrocemento - m2 adicional;24,57;;
;1248;Sustitución de sumidero de terraza con impermeabilización;92,03;;
;1280;Material de tejados y cubiertas no incluido en baremo;;;
;1281;Visita sin valoración de trabajos;20,35;;
;1282;Tarifa / hora mano de obra de oficial de tejados y cubiertas;25,38;;
;1283;Tarifa / hora mano de obra de ayudante de tejados y cubiertas;16,80;;
Toldos;;;;
;6340;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);30,25;;
;6360;Desmontaje y montaje de toldo sin sustitución - 1ª unidad;63,04;;
;6361;Desmontaje y montaje de toldo sin sustitución - unidad adicional;47,28;;
;6380;Instalación de lona de toldo - 1ª unidad;93,84;;
;6381;Instalación de lona de toldo - unidad adicional;56,10;;
;6382;Instalación de herrajes de toldo - 1ª unidad;86,70;;
;6383;Instalación de herrajes de toldo - unidad adicional;70,28;;
;6384;Instalación de herrajes de toldo y lona - 1ª unidad;127,05;;
;6385;Instalación de herrajes de toldo y lona - unidad adicional;108,38;;
;6400;Lona tipo acrílica;31,21;;
;6401;Lona tipo Soltis;46,92;;
;6402;Lona tipo screen;57,88;;
;6403;Lona tipo PVC;28,95;;
