Albañilería;;;;
;2021;Reparación adicional con soldadura en la misma reparación;8,57;;
;2022;Reparación de tubería con gebo hasta 2;49,11;;
;2023;Reparación de tubería con gebo desde 2;59,47;;
;2024;Reparación de bote sifónico;55,08;;
;2025;Reparación de manguetón / Sustitución de mangueta flexible o excéntrica de inodoro;60,18;;
;2026;Reparación de manguetón con enmasillado;34,60;;
;2027;Reparación de sifón;33,66;;
;2028;Reparación de válvula;36,72;;
;2040;Sustitución de tubería de presión - hasta 1 ml.;71,27;;
;2041;Sustitución de tubería de presión - ml. adicional;22,81;;
;2042;Sustitución de tubería de desagüe - hasta 1 ml.;59,17;;
;2043;Sustitución de tubería de desagüe  - ml. adicional;20,04;;
;2044;Sustitución de T o Y, incluyendo tramos de tubería (presión o desagüe) hasta 2 ml y accesorios necesarios;80,88;;
;2045;Sustitución de juego de latiguillos - Única intervención;30,60;;
;2046;Sustitución de juego de latiguillos  - junto con otra reparación;18,87;;
;2047;Sustitución de llave de escuadra o corte hasta 1;35,19;;
;2048;Sustitución de grifería (sólo mano de obra);30,60;;
;2049;Sustitución de llave y detentor de radiador;35,19;;
;2050;Sustitución de válvula / rebosadero de bañera (tramo de desagüe incluido);61,05;;
;2051;Sustitución de válvula sin rebosadero (tramo de desagüe incluido);45,52;;
;2052;Sustitución de válvula de sanitario o fregadero (tramo de desagüe incluido);39,27;;
;2053;Sustitución manguetón (incluye d/m sanitario);126,99;;
;2054;Sustitución bote sifónico;115,83;;
;2055;Sustitución sifón;36,41;;
;2080;Sustitución de bajada hasta 1 ml.;79,47;;
;2081;Sustitución de bajada hasta 3 ml.;112,50;;
;2082;Sustitución de bajada ml adicional;36,38;;
;2083;Sustitución de injerto sencillo (incluye tramos de tubería hasta 2 ml);115,42;;
;2084;Sustitución de injerto doble (incluye tramos de tubería hasta 2 ml);130,20;;
;2085;Sustitución de codo de bajante (inc. tramo de tubería hasta 1 ml);66,86;;
;2086;Sustitución de codo de bajante doble - derivación en bajante (inc. tramo de tubería hasta 1 ml);82,47;;
;2087;Suplemento para diámetros superiores a 125 mm, ml;13,65;;
;2088;Sustitución de tubería general hasta 2 y hasta 1 ml;81,90;;
;2089;Sustitución de tubería general hasta 2 ml adicional;28,69;;
;2090;Sustitución de T de derivación de acometida (inc. tramo de tubería hasta 1 ml);93,87;;
;2091;Suplemento para diámetros superiores a 2, ml;10,86;;
;2092;Ml.Sustitución de canalón de PVC.;31,06;;
;2093;Ml.Sustitución de canalón metálico (zinc, aluminio, ..).;37,49;;
;2094;Ml.Sustitución de canalón de cobre.;66,86;;
;1260;Ml.Sustitución de canalón de PVC.;31,06;;
;1261;Ml.Sustitución de canalón de zinc o acero galvanizado o prelacado.;37,49;;
;1262;Ml.Sustitución de canalón de aluminio.;42,84;;
;1263;Ml.Sustitución de canalón de cobre.;63,95;;
;2140;Desmontaje y montaje de aparato sanitario (lavabo, bidé, cisterna, inodoro);35,94;;
;2141;Desmontaje y montaje de bañera;83,87;;
;2142;Desmontaje y montaje de plato de ducha;60,66;;
;2143;Desmontaje y montaje de fregadero / pila;33,32;;
;2144;Desmontaje y montaje de grifería (incompatible con d/m del propio aparato);11,51;;
;2145;Desmontaje y montaje de mampara;58,00;;
;2146;Desmontaje y montaje de mueble de baño (inc. desconexión de grifería y desagües);36,02;;
;2147;Desmontaje y montaje de mueble de cocina (inc. desconexión de grifería y desagües);38,84;;
;2148;Desmontaje y montaje de encimera de cocina (no piedra);36,02;;
;2149;Desmontaje y montaje de calentador, termo eléctrico o acumulador (inc. vaciado y llenado);46,00;;
;2150;Desmontaje y montaje de caldera mixta;;;
;2151;Desmontaje y montaje de radiador;35,15;;
;2170;Sustitución de aparato sanitario (lavabo, bidé, cisterna, inodoro);47,06;;
;2171;Sustitución de bañera;113,68;;
;2172;Sustitución de plato de ducha;75,40;;
;2173;Sustitución de fregadero / pila;48,11;;
;2175;Suministro lavabo;;;
;2176;Suministro inodoro completo;;;
;2177;Suministro cisterna de inodoro;;;
;2178;Suministro bidé;;;
;2179;Suministro plato de ducha;;;
;2180;Suministro bañera;;;
;2181;Suministro fregadero de loza;;;
;2182;Suministro pie de lavabo;;;
;2183;Suministro tapa de cisterna;;;
;2184;Suministro tapa de bidé;;;
;2185;Suministro de taza de inodoro;;;
;2186;Suministro tapa y asiento de inodoro;;;
;2220;Vaciado y llenado de circuito de calefacción individual con purgado de radiadores;20,53;;
;2221;Vaciado y llenado de circuito de calefacción comunitario con purgado de radiadores;31,62;;
;2222;Localización de fuga con detector de fugas geófono;69,36;;
;2223;Localización de fuga con detector de fugas termográfico;107,10;;
;2224;Localización de fuga con detector de fugas de gas traza;214,81;;
;2225;Material de fontanería no incluido en baremo;;;
;2226;Visita sin valoración de trabajos;20,35;;
;2227;Tarifa / hora mano de obra de fontanero;22,68;;
;2228;Tarifa / hora mano de obra de ayudante de fontanero;15,75;;
;1;Tarifa / hora mano de obra de limpieza;17,01;;
;3;Tarifa / hora mano de obra otros gremios no baremados;;;
;7;Tarifa / hora mano de obra de ayudante otros gremios no baremados;;;
;11;Material no incluido en baremo de limpieza;;;
;13;Material no incluido en baremo otros gremios no baremados;;;
;120;Desplazamiento 30-45 km ida;18,84;;
;121;Desplazamiento 46-60 km ida;24,05;;
;122;Desplazamiento 61-75 km ida;30,81;;
;123;Desplazamiento más de km 75 ida;50,32;;
;140;Recargo noctuno / festivo;47,00;;
;160;Ud.Alquiler de telesaco;47,70;;
;161;Ud.Alquiler contenedor;122,96;;
;180;Utilización de escalera alta (para trabajos a partir de 5 m de altura);29,27;;
;181;Montaje y desmontaje de andamio propio;33,00;;
;182;Utilización de andamios para trabajos en altura hasta 2 cuerpos (5 metros);90,00;;
;183;Utilización de andamios para trabajos en altura hasta 3 cuerpos (7,5 metros);130,00;;
;184;Utilización de andamios para trabajos en altura hasta 4 cuerpos (10 metros);155,00;;
;185;Utilización de cesta o camión grúa para trabajos en altura;;;
;186;Utilización de plataforma elevadora para trabajos en altura;;;
;187;Recargo peligrosidad trabajos altura en superf. Inestable (tejado/voladizo/cornisa) y sin medios aux (Andamio/escalera);122,20;;
;188;Recargo de peligrosidad para trabajos en altura con medios auxiliares (andamio, escalera, …);56,00;;
;200;Servicio mínimo trabajos verticales;100,00;;
;201;M.O trabajos verticales (días laborables);30,00;;
;202;M.O trabajos verticales (días festivos);50,00;;
;220;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);27,50;;
;240;Comparecencia judicial;24,72;;
;260;Tasas, impuestos, licencias;;;
;261;Retirada a punto limpio;;;
;2120;Desatranco por medios manuales (incluido material);44,22;;
;2121;Desatranco por medios mecánicos (incluido alquiler de maquinaria);76,21;;
;2126;Inspección con cámara de TV;;;
Carpintería;;;;
;4200;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);30,25;;
;4220;Desmontaje y montaje de módulo de cocina - 1ª unidad;55,37;;
;4221;Desmontaje y montaje de módulo de cocina - unidad adicional;31,91;;
;4222;Desmontaje y montaje de módulo rinconero, columna o costado de frigorífico - 1ª ud;46,09;;
;4223;Desmontaje y montaje de módulo rinconero, columna o costado de frigorífico - unidad adicional;46,09;;
